source,target,value
0,12,4.433280826486157
0,12,4.433280826486157
0,13,3.895996356560262
0,14,3.1316756387251137
0,15,6.25
1,16,3.1775572098152747
1,17,7.2129032258064525
1,18,4.973807554452716
2,18,3.498864005193119
3,19,5.330522190987308
3,20,5.037919826652221
3,13,3.2759336883048227
3,14,5.022991193203959
3,21,4.027711419015767
3,22,3.4905431792591326
3,15,7.8125
4,20,4.724335316713113
5,14,4.62807191159492
5,21,8.988877654196159
5,22,4.078062317135704
5,23,7.963354474982381
5,15,3.125
6,14,4.152432324443113
6,15,3.125
7,14,3.8621156304037294
8,24,4.88307769675635
8,15,10.9375
9,22,4.5762551010724115
9,23,4.0317812269031785
9,15,8.05640243902439
10,22,3.118635648646411
10,15,3.125
11,23,3.8085131470345477
