source,target,value
cuban,mexican,4.433280826486157
cuban,spanish,3.895996356560262
cuban,american,3.1316756387251137
cuban,portuguese,6.25
chinese,hawaiian,3.1775572098152747
chinese,japanese,7.2129032258064525
chinese,thai,4.973807554452716
indian,thai,3.498864005193119
french,english,5.330522190987308
french,italian,5.037919826652221
french,spanish,3.2759336883048227
french,american,5.022991193203959
french,irish,4.027711419015767
french,german,3.4905431792591326
french,portuguese,7.8125
greek,italian,4.724335316713113
english,american,4.62807191159492
english,irish,8.988877654196159
english,german,4.078062317135704
english,swedish,7.963354474982381
english,portuguese,3.125
italian,american,4.152432324443113
italian,portuguese,3.125
mexican,american,3.8621156304037294
spanish,hungarian,4.88307769675635
spanish,portuguese,10.9375
hungarian,german,4.5762551010724115
hungarian,swedish,4.0317812269031785
hungarian,portuguese,8.05640243902439
american,german,3.118635648646411
american,portuguese,3.125
german,swedish,3.8085131470345477
