,cuisine,in1,in2,frequency
0,cuban, ground cumin, dried oregano,96.0
0,cuban, salt, dried oregano,92.0
0,cuban, onions, garlic,90.0
0,cuban, orange, dried oregano,9.0
0,cuban, minced garlic, ground black pepper,9.0
0,cuban, salt, chicken stock,9.0
0,cuban, orange juice, cilantro,9.0
0,cuban, lemon juice, garlic cloves,9.0
0,cuban,pork shoulder, garlic,9.0
0,cuban,pork shoulder, dried oregano,9.0
0,cuban, white rice, ground cumin,9.0
0,cuban, yellow mustard, garlic,9.0
0,cuban, red onion, pepper,9.0
0,cuban, red onion, lime juice,9.0
0,cuban, salt, dried thyme,9.0
0,cuban, red onion, dried oregano,9.0
0,cuban, lemon juice, kosher salt,9.0
0,cuban, oregano, chili,9.0
0,cuban, white onion, garlic,9.0
0,cuban, tomato paste, bay leaves,9.0
0,cuban, oregano, orange,9.0
0,cuban, oregano, orange juice,9.0
0,cuban, dried oregano, dill pickles,9.0
0,cuban, water, tomato sauce,9.0
0,cuban, salt, honey,9.0
0,cuban, salt, lime zest,9.0
0,cuban, tomato paste, raisins,9.0
0,cuban, red bell pepper, bay leaves,9.0
0,cuban, lemon juice, ground cumin,9.0
0,cuban, orange, kosher salt,9.0
0,cuban, garlic cloves, beef broth,9.0
0,cuban, swiss cheese, ground cumin,9.0
0,cuban,vegetable oil, onions,9.0
0,cuban, lime, fresh cilantro,9.0
0,cuban, ground allspice, garlic cloves,9.0
0,cuban,garlic, olive oil,9.0
0,cuban, rice, onions,9.0
0,cuban, olive oil, flank steak,9.0
0,cuban, onions, butter,9.0
0,cuban, onions, carrots,9.0
0,cuban, swiss cheese, dried oregano,9.0
0,cuban, green pepper, cumin,9.0
0,cuban, sugar, olive oil,9.0
0,cuban,vegetable oil, ground cumin,9.0
0,cuban, diced tomatoes, bay leaves,9.0
0,cuban, onions, flank steak,9.0
0,cuban, onions, ground beef,9.0
0,cuban, olive oil, avocado,9.0
0,cuban, swiss cheese, pepper,9.0
0,cuban, red wine vinegar, chili,9.0
0,chinese, water, soy sauce,96.0
0,chinese, water, corn starch,94.0
0,chinese, soy sauce, green onions,92.0
0,chinese, soy sauce, salt,90.0
0,chinese, oyster sauce, flour,9.0
0,chinese, fresh ginger, chinese fivespice powder,9.0
0,chinese, rice vinegar, red pepper flakes,9.0
0,chinese, fresh ginger,  soy sauce,9.0
0,chinese, sesame seeds, salt,9.0
0,chinese,vegetable oil, soy sauce,9.0
0,chinese, sugar,  soy sauce,9.0
0,chinese, water chestnuts, water,9.0
0,chinese, water chestnuts, green onions,9.0
0,chinese, sesame seeds, brown sugar,9.0
0,chinese, sesame oil, red pepper flakes,9.0
0,chinese, ketchup, garlic,9.0
0,chinese, water chestnuts, oyster sauce,9.0
0,chinese, kosher salt, ground black pepper,9.0
0,chinese, toasted sesame oil, green onions,9.0
0,chinese, sesame oil, kosher salt,9.0
0,chinese, shaoxing wine, eggs,9.0
0,chinese, shaoxing wine, green onions,9.0
0,chinese, onions, dark soy sauce,9.0
0,chinese, chili, boneless skinless chicken breasts,9.0
0,chinese, green onions, granulated sugar,9.0
0,chinese, chili, broccoli,9.0
0,chinese, toasted sesame oil, chili,9.0
0,chinese, rice vinegar, eggs,9.0
0,chinese, shiitake, corn starch,9.0
0,chinese, salt, boneless skinless chicken breasts,9.0
0,chinese, sugar, canola oil,9.0
0,chinese, sugar, black pepper,9.0
0,chinese, eggs, canola oil,9.0
0,chinese, sugar, minced ginger,9.0
0,chinese,boneless skinless chicken breasts, oyster sauce,9.0
0,chinese, sauce, salt,9.0
0,chinese, scallions, carrots,9.0
0,chinese, sugar, honey,9.0
0,chinese, garlic powder, chili,9.0
0,chinese,boneless skinless chicken breasts, flour,9.0
0,chinese, carrots, brown sugar,9.0
0,chinese, white pepper, vegetable oil,9.0
0,chinese, honey, garlic powder,9.0
0,chinese, scallions, kosher salt,9.0
0,chinese, scallions, minced garlic,9.0
0,chinese, scallions, red pepper flakes,9.0
0,chinese, sugar, egg whites,9.0
0,chinese, sugar, dry sherry,9.0
0,chinese, garlic, dry sherry,9.0
0,chinese, sugar, cooking oil,9.0
0,hawaiian, salt, pepper,95.0
0,hawaiian,boneless skinless chicken breasts, corn starch,9.0
0,hawaiian, water, minced garlic,9.0
0,hawaiian, tomato paste, salt,9.0
0,hawaiian,ground beef, soy sauce,9.0
0,hawaiian, pineapple juice, apple cider vinegar,9.0
0,hawaiian, green onions, garlic cloves,9.0
0,hawaiian, garlic cloves, chili,9.0
0,hawaiian, sesame oil, corn starch,9.0
0,hawaiian,soy sauce, brown sugar,9.0
0,hawaiian, pineapple, chicken breasts,9.0
0,hawaiian, red onion, fresh ginger,9.0
0,hawaiian,boneless skinless chicken breasts, pepper,9.0
0,hawaiian, onions, eggs,9.0
0,hawaiian, shredded mzarella cheese, pizza sauce,9.0
0,hawaiian, pepper, ground ginger,9.0
0,hawaiian, water, milk,9.0
0,hawaiian, pineapple, butter,9.0
0,hawaiian, water,  soy sauce,9.0
0,hawaiian, pineapple, diced ham,9.0
0,hawaiian, pineapple juice, ground black pepper,9.0
0,hawaiian, vinegar, green pepper,9.0
0,hawaiian, soy sauce, sesame seeds,9.0
0,hawaiian, pineapple juice, green onions,9.0
0,hawaiian, teriyaki sauce, pepper,9.0
0,hawaiian, pineapple juice, green bell pepper,9.0
0,hawaiian, red onion, ginger,9.0
0,hawaiian, ginger, garlic cloves,9.0
0,hawaiian, water, ketchup,9.0
0,hawaiian, sesame oil, fresh ginger,9.0
0,hawaiian, fresh pineapple, fresh ginger,9.0
0,hawaiian, pineapple, bacon,9.0
0,hawaiian, pineapple chunks, boneless skinless chicken breasts,9.0
0,hawaiian, ketchup, garlic powder,9.0
0,hawaiian, olive oil, green pepper,9.0
0,hawaiian, soy sauce, coconut milk,9.0
0,hawaiian, ground ginger,  soy sauce,9.0
0,hawaiian, pepper, barbecue sauce,9.0
0,hawaiian,ground beef, salt,9.0
0,hawaiian, water, eggs,9.0
0,hawaiian, pineapple, onion powder,9.0
0,hawaiian, salt, rice,9.0
0,hawaiian, pineapple juice, lime,9.0
0,hawaiian, green onions, flour,9.0
0,hawaiian, water, red onion,9.0
0,hawaiian, pineapple chunks, ginger,9.0
0,hawaiian,chicken, pineapple,9.0
0,hawaiian, water, garlic cloves,9.0
0,hawaiian, pepper, chili,9.0
0,hawaiian, onions, chili,9.0
0,indian, salt, ground cumin,99.0
0,indian, tomatoes, salt,95.0
0,indian, salt, cumin seed,94.0
0,indian, salt, oil,93.0
0,indian, salt, ginger,92.0
0,indian, oil, butter,9.0
0,indian, salt, black peppercorns,9.0
0,indian, salt, carrots,9.0
0,indian, oil, coriander,9.0
0,indian, crushed tomatoes, cayenne pepper,9.0
0,indian, salt, chicken thighs,9.0
0,indian, oil, cilantro,9.0
0,indian, salt, chopped tomatoes,9.0
0,indian, salt, ginger garlic paste,9.0
0,indian, turmeric, ground ginger,9.0
0,indian, salt, ginger root,9.0
0,indian, turmeric, olive oil,9.0
0,indian, garlic cloves, cilantro leaves,9.0
0,indian, turmeric, mustard seeds,9.0
0,indian, salt, masala,9.0
0,indian, salt, minced ginger,9.0
0,indian, salt, mint leaves,9.0
0,indian, coriander powder, cardamom,9.0
0,indian, cumin, black pepper,9.0
0,indian,coconut oil, garam masala,9.0
0,indian, ground coriander, crushed tomatoes,9.0
0,indian, garlic, chicken breasts,9.0
0,indian, garam masala, fren peas,9.0
0,indian, garam masala, fresh lemon juice,9.0
0,indian, vegetable oil, coriander powder,9.0
0,indian, vegetable oil, clove,9.0
0,indian, olive oil, cumin,9.0
0,indian, curry leaves, coriander powder,9.0
0,indian, ground cloves, ground cardamom,9.0
0,indian, yellow onion, fresh ginger,9.0
0,indian, ground coriander, basmati rice,9.0
0,indian, ground coriander, cayenne,9.0
0,indian, garlic, fennel seeds,9.0
0,indian, garlic, cinnamon sticks,9.0
0,indian, yellow onion, ground turmeric,9.0
0,indian, garlic, cooked rice,9.0
0,indian, minced ginger, garam masala,9.0
0,indian, garlic, crushed tomatoes,9.0
0,indian, garlic, curry leaves,9.0
0,indian, oil, green cardamom,9.0
0,indian, ground turmeric, diced tomatoes,9.0
0,indian, cumin, coconut milk,9.0
0,indian, turmeric, heavy cream,9.0
0,indian, garlic paste, bay leaf,9.0
0,indian, sugar, clove,9.0
0,french, salt, olive oil,91.0
