source,target
 soy sauce, corn starch
 soy sauce, sesame oil
 soy sauce, garlic
 garlic, corn starch
 sesame oil, corn starch
 water, soy sauce
 water, corn starch
 soy sauce, green onions
 soy sauce, salt
 sesame oil, garlic
 salt, pepper
 salt, onions
 salt, flour
 salt, garlic
 salt, butter
 salt, olive oil
 salt, garlic cloves
 pepper, onions
 onions, garlic
 salt, red wine
 salt, grated parmesan cheese
 olive oil, grated parmesan cheese
 shredded mzarella cheese, grated parmesan cheese
 olive oil, garlic cloves
 pepper, olive oil
 salt, garam masala
 onions, garam masala
 salt, chili
 garam masala, chili
 yogurt, salt
 garlic, garam masala
 salt, ground turmeric
 yogurt, garam masala
 soy sauce, mirin
 soy sauce, sake
 sake, mirin
 sugar, soy sauce
 sugar, mirin
 sugar, sake
 scallions, mirin
 mirin, green onions
 salt, ground cumin
 olive oil, ground cumin
 ground cumin, ground cinnamon
 ground cumin, ground coriander
 olive oil, garlic
 salt, ground ginger
 salt, ground cinnamon
 onions, garlic cloves
 onions, olive oil
 garlic, fish sauce
 fish sauce, chili
 fish sauce, coconut milk
 garlic, chili
 kaffir lime leaves, fish sauce
 lime, fish sauce
 lime juice, fish sauce
 green onions, fish sauce
 fish sauce, beansprouts
