id,group
 soy sauce,chinese
 corn starch,chinese
 garlic,chinese
 sesame oil,chinese
 water,chinese
 green onions,chinese
 salt,french
 flour,french
 pepper,french
 butter,french
 carrots,french
 salt,italian
 grated parmesan cheese,italian
 olive oil,italian
 garlic,italian
 chili,indian
 salt,indian
 garam masala,indian
 onions,indian
 garlic,indian
 yogurt,indian
 ground turmeric,indian
 ginger,indian
 cumin seed,indian
 soy sauce,japanese
 mirin,japanese
 sake,japanese
 sugar,japanese
 scallions,japanese
 green onions,japanese
 salt,moroccan
 olive oil,moroccan
 ground cumin,moroccan
 garlic,moroccan
 ground cinnamon,moroccan
 ground ginger,moroccan
 ground coriander,moroccan
 preserved lemon,moroccan
 onions,spanish
 salt,spanish
 garlic cloves,spanish
 olive oil,spanish
 garlic,spanish
 saffron threads,spanish
 sausage,spanish
 paprika,spanish
olive oil,spanish
 chili,thai
 fish sauce,thai
 garlic,thai
 coconut milk,thai
 lime juice,thai
