id,group
 corn starch,chinese
 green onions,chinese
 sesame oil,chinese
 water,chinese
 red wine,french
 pepper,french
 flour,french
 butter,french
 shredded mzarella cheese,italian
 grated parmesan cheese,italian
 onions,indian
 yogurt,indian
 garam masala,indian
 chili,indian
 salt,indian
 ground turmeric,indian
 soy sauce,japanese
 sake,japanese
 sugar,japanese
 scallions,japanese
 mirin,japanese
 olive oil,moroccan
 ground coriander,moroccan
 ground cinnamon,moroccan
 ground cumin,moroccan
 ground ginger,moroccan
 garlic cloves,spanish
 lime,thai
 fish sauce,thai
 garlic,thai
 coconut milk,thai
 lime juice,thai
 beansprouts,thai
 kaffir lime leaves,thai
