,ingredients,cuisine
0,"['stew', 'meat', 'flour', 'cumin', 'oregano', 'salt', 'pepper', 'sherri', 'beef', 'stock', 'onion', 'potato', 'oliv', 'caper']",cuban
1,"['steak', 'broccoli', 'floret', 'wine', 'soy', 'sauc', 'oyster', 'sauc', 'ground', 'pepper', 'garlic', 'powder', 'sugar', 'onion', 'ginger', 'corn', 'starch', 'oil']",chinese
2,"['chicken', 'breast', 'pineappl', 'slice', 'mandarin', 'orang', 'corn', 'starch', 'sugar', 'lemon', 'juic', 'salt', 'ground', 'ginger']",hawaiian
3,"['water', 'fish', 'sea', 'salt', 'ground', 'pepper', 'pepper', 'onion', 'pineappl', 'lime', 'mushroom', 'sesam', 'oil', 'sesam', 'oil', 'garlic', 'ginger', 'pineappl', 'juic', 'juic', 'lemon', 'juic', 'coconut', 'milk', 'dijon', 'mustard', 'hoisin', 'sauc', 'soy', 'sauc', 'blossom', 'honey', 'cilantro', 'chili']",hawaiian
4,"['chicken', 'breast', 'shallot', 'pumpkin', 'korma', 'past', 'coconut', 'milk', 'mint', 'leav', 'coconut', 'oil', 'sea', 'salt', 'garlic', 'ginger', 'cilantro', 'ground', 'cumin', 'coriand', 'powder', 'garam', 'masala', 'ground', 'cayenn', 'pepper', 'tomato', 'past', 'oil']",indian
5,"['leg', 'lamb', 'onion', 'garlic', 'caper', 'tarragon', 'sea', 'salt', 'oil', 'wine', 'vinegar', 'pepper']",french
6,"['chicken', 'breast', 'cauliflow', 'oil', 'onion', 'garlic', 'oregano', 'lemon', 'chicken', 'broth', 'wine', 'yogurt', 'salt', 'pepper', 'parsley']",greek
7,"['potato', 'veget', 'oil', 'flour', 'beer', 'fish']",english
8,"['lasagna', 'noodl', 'ricotta', 'spinach', 'mzarella', 'chees', 'parmesan', 'parsley', 'leav', 'butter', 'garlic', 'mushroom', 'onion', 'flour', 'milk', 'basil', 'oregano', 'nutmeg', 'salt', 'ground', 'pepper']",italian
9,"['garlic', 'clove', 'shallot', 'chili', 'coriand', 'lamb', 'oil', 'hanout', 'carrot', 'onion', 'potato', 'potato', 'tomato', 'apricot', 'honey', 'chicken', 'stock', 'lemon', 'bay', 'leav', 'sea', 'salt', 'cilantro', 'pomegran', 'yogurt', 'lemon', 'wedg']",moroccan
