,ingredients,cuisine
0,"['meat stew', 'flour', 'cumin', 'oregano', 'salt', 'pepper', 'sherri', 'beef stock', 'onion', 'potato', 'oliv', 'caper']",cuban
1,"['steak', 'broccoli floret', 'wine', 'sauc soy', 'oyster sauc', 'ground pepper', 'garlic powder', 'sugar', 'onion', 'ginger', 'corn starch', 'oil']",chinese
2,"['breast chicken', 'pineappl slice', 'mandarin orang', 'corn starch', 'sugar', 'juic lemon', 'salt', 'ginger ground']",hawaiian
3,"['water', 'fish', 'salt sea', 'ground pepper', 'pepper', 'onion', 'pineappl', 'lime', 'mushroom', 'oil sesam', 'oil sesam', 'garlic', 'ginger', 'juic pineappl', 'juic', 'lemon', 'juic', 'coconut milk', 'dijon mustard', 'hoisin sauc', 'sauc soy', 'blossom honey', 'cilantro', 'chili']",hawaiian
4,"['breast chicken', 'shallot', 'pumpkin', 'korma past', 'coconut milk', 'leav mint', 'coconut oil', 'salt sea', 'garlic', 'ginger', 'cilantro', 'cumin ground', 'coriand powder', 'garam masala', 'cayenn ground pepper', 'past tomato', 'oil']",indian
5,"['lamb leg', 'onion', 'garlic', 'caper', 'tarragon', 'salt sea', 'oil', 'vinegar wine', 'pepper']",french
6,"['breast chicken', 'cauliflow', 'oil', 'onion', 'garlic', 'oregano', 'lemon', 'broth chicken', 'wine', 'yogurt', 'salt', 'pepper', 'parsley']",greek
7,"['potato', 'oil veget', 'flour', 'beer', 'fish']",english
8,"['lasagna noodl', 'ricotta', 'spinach', 'chees mzarella', 'parmesan', 'leav parsley', 'butter', 'garlic', 'mushroom', 'onion', 'flour', 'milk', 'basil', 'oregano', 'nutmeg', 'salt', 'ground pepper']",italian
9,"['clove garlic', 'shallot', 'chili', 'coriand', 'lamb', 'oil', 'hanout', 'carrot', 'onion', 'potato', 'potato', 'tomato', 'apricot', 'honey', 'chicken stock', 'lemon', 'bay leav', 'salt sea', '', 'cilantro', 'pomegran', 'yogurt', 'lemon wedg']",moroccan
10,"['ginger', 'garlic', 'bell pepper', 'onion', 'canola oil', 'steak', 'babi bok', 'leav', 'sauc soy', 'oyster sauc', 'rice vinegar', 'oil sesam', 'corn starch', 'fri sauc']",chinese
11,"['beef ground', 'bean', 'picant sauc', 'flour', 'cheddar chees', 'tomato', 'oliv']",mexican
12,"['oil', 'garlic', 'onion', 'sausag', 'rice', 'chicken stock', 'tomato', 'coriand', 'chees']",spanish
13,"['breast chicken', 'onion', 'tomato', 'pita pocket wheat', 'lettuc', 'chees', 'sauc', 'cucumb', 'yogurt', 'dill', 'garlic', 'salt tabl']",greek
14,"['beef ground', 'onion', 'garlic', 'leaf parsley', 'egg', 'salt', 'ground pepper', 'bread crumb', 'chees mzarella', 'oil']",italian
15,"['chicken', 'onion', 'carrot', 'potato', 'almond', 'chermoula', 'salt sea', 'oil', 'juic', 'lemon', 'prune', 'oliv', 'lemon', 'cilantro', 'leav parsley', 'clove garlic', 'coriand', 'leaf parsley', 'cumin ground', 'coriand ground', 'chili', 'ground turmer', 'paprika', 'hanout']",moroccan
16,"['noodl', 'oil', 'onion', 'bell pepper', 'clove garlic', 'chees cottag', 'yogurt', 'paprika', 'salt', 'pepper', 'onion powder']",hungarian
17,"['canola oil', 'bacon', 'onion', 'mushroom', 'juic', 'pineappl slice', 'burger veggi', 'bun hamburg wheat', 'chees', 'barbecu sauc', 'tomato', 'lettuc']",hawaiian
18,"['flour', 'butter', 'egg', 'season', 'spinach', 'oil', 'chees', 'onion', 'garlic', 'dill', 'lemon zest', 'ground pepper', 'cream']",greek
19,"['beef meat stew', 'salt', 'ground pepper', 'wine', 'thyme', 'bay leav', 'carrot', 'mushroom', '', 'onion', 'garlic', 'oil', 'beef broth', 'water', 'past tomato']",french
20,"['chex rice', 'coconut', 'cayenn pepper', 'mayonnais', 'dijon mustard', 'honey', 'breast chicken', 'chunk pineappl', 'bell pepper']",hawaiian
21,"['oil veget', 'beef meat stew', 'onion', 'garlic', 'paprika', 'ground pepper', 'flour', 'water', 'potato', 'salt', 'mushroom', 'carrot']",hungarian
22,"['oil veget', 'beef ground', 'onion', 'clove garlic', 'tomato', 'appl', 'chili', 'raisin', 'water', 'oregano', 'thyme', 'salt', 'pepper', 'butter', 'almond', 'rice']",cuban
23,"['beef chuck roast', 'beef', 'sauc soy', 'sugar', 'oil sesam', 'clove garlic', 'corn starch', 'sauc', 'broccoli floret', 'rice']",chinese
24,"['breadcrumb', 'pepper', 'almond', 'oil', 'sherri vinegar wine', 'clove garlic', 'paprika', 'leav parsley', 'leaf parsley', 'chicken cutlet', 'ham', 'butter lettuc']",spanish
25,"['chili', 'chili', 'cumin ground', 'ground oregano', 'thyme', 'coriand seed', 'water', 'bacon', 'roast', 'salt', 'onion', 'garlic', 'chili', 'tomato', 'juic lime', 'sugar', 'bean kidney', 'corn starch', 'cheddar chees', 'onion']",mexican
26,"['beef steak', 'pepper', 'salt']",american
27,"['breast chicken', 'onion', 'butter', 'garlic', 'ginger', 'curri powder', 'curri past', 'garam masala', 'turmer', 'cayenn pepper', 'salt', 'past tomato', 'coconut milk', 'yogurt', 'cream', 'rice']",indian
28,"['chicken drummett wing', 'salt', 'pepper', 'oil', 'onion', 'chorizo', 'tomato', 'rice', 'bean butter', 'broth chicken', 'pea']",spanish
29,"['rice', 'oil', 'onion', 'clove garlic', 'ginger', 'curri powder', '', 'cauliflow', 'cherri tomato', 'spinach', 'cilantro', 'salt', 'pepper']",indian
30,"['pineappl ring', 'hamburg patti', 'season', 'chees', 'bun', 'mayonnais', 'lettuc', 'onion', 'tomato', 'sauc teriyaki']",hawaiian
31,"['beef tenderloin', 'butter', 'onion', 'mushroom', 'liver pate', 'salt', 'pepper', 'pastri sheet', 'egg yolk', 'beef broth', 'wine']",english
32,"['beef', 'bay leav', 'caraway seed', 'peppercorn', 'parsnip', 'carrot', 'turnip', 'onion', 'potato', 'cabbag', 'beet']",irish
33,"['corn starch', 'broth chicken', 'sauc soy', 'breast chicken', 'veget', 'ginger ground', 'garlic powder', 'rice']",chinese
34,"['chicken', 'clove garlic', 'ginger', 'turmer', 'garam masala', '', 'juic lime', 'yogurt', 'salt', 'ghee', 'onion', 'garlic', 'chili', 'cumin ground', 'coriand ground', 'ground turmer', 'chili', 'past tomato', 'tomato', 'fenugreek']",english
35,"['beef brisket', 'season', 'potato', 'carrot', 'cabbag', 'cream', 'horseradish', 'dijon mustard', 'cayenn pepper', 'parsley', 'sugar', 'appl cider vinegar', 'mustard', 'garlic powder', 'onion powder']",irish
36,"['breast chicken halv', 'chees parmesan', 'flour', 'salt', 'pepper', 'oil', 'butter', 'chicken stock', 'juic lemon', 'caper', 'parsley']",italian
37,"['breast chicken', 'oil', 'salt', 'pepper', 'onion', 'garlic', 'lemon', 'garam masala', 'paprika', 'tomato', 'oliv', 'oil', 'cilantro', 'cauliflow', 'almond', 'ghee', 'cilantro', 'garlic salt']",moroccan
38,"['sack', 'cheddar chees', 'chees gruyer', 'flour', 'beer', 'mustard', 'sauc', 'sauc worcestershir', 'brat', 'frank', 'cauliflow', 'pickl', 'onion', 'rye']",german
39,"['rigatoni', 'oil', 'garlic', 'cherri tomato', 'basil leav', 'mzarella']",italian
40,"['oil veget', 'eye', 'onion', 'appl smith', 'clove garlic', 'ginger', 'sake', 'mirin', 'salt', 'curri powder', 'mix sauc', 'garam masala', 'sauc soy', 'sugar', 'broth chicken', 'carrot', 'gold potato', 'kabocha squash', 'udon', 'corn starch', 'flour']",japanese
41,"['beef brisket', 'rosemari', 'beef stock', 'carrot', 'potato', 'butter', 'milk', 'pea', 'onion', 'oil', 'wine', 'sauc worcestershir', 'chees']",english
42,"['oil', 'bone chicken thigh', 'carrot', 'onion', 'bulb fennel', 'water', 'garlic', 'tomato', 'broth chicken', 'wine', 'liqueur', 'thyme', 'salt', 'pepper', 'bay leaf', 'saffron thread']",french
43,"['beef ground', 'season taco', 'water', 'salsa', 'corn kernel', 'cheddar chees', 'bake biscuit mix', 'milk', 'pepper']",english
44,"['bacon slice', 'molass', 'butter', 'eye rib steak']",american
45,"['dough pizza', 'sausag', 'butter', 'potato', 'sauerkraut', 'cheddar chees', 'caraway seed']",german
46,"['beef ground', 'ground pork', 'butter', 'onion', 'breadcrumb panko', 'egg', 'nutmeg', 'allspic', 'salt', 'pepper', 'flour', 'beef broth', 'cream', 'egg noodl', 'chees gruyer', 'chive']",swedish
47,"['drumstick duck', 'ground pepper', 'salt', 'carrot', 'potato', 'leek', 'clove garlic', 'thyme', 'bay leaf', 'broth chicken', 'wine', 'water']",french
48,"['egg noodl', 'oil', 'breast chicken', 'onion', 'carrot', 'pepper', '', '', 'sauc soy', 'oil sesam', 'onion', 'salt']",chinese
49,"['', 'lime', 'garlic', 'cilantro', 'oil', 'salt', 'pepper', 'chop pork', 'chees', 'ham steak', 'dill pickl']",cuban
50,"['sake', 'mirin', 'miso past', 'sugar', 'fish', 'oil', 'chili', 'scallion']",japanese
51,"['cabbag', 'sugar', 'salt', 'celeri seed', 'oil veget', 'appl cider vinegar', 'ground pepper', 'brat', 'onion', 'beer', 'hoagi roll', 'mustard']",german
52,"['beef', 'oil', 'onion', 'garlic', 'carrot', 'parsnip', 'celeri stick', 'tomato', 'pepper', 'ground paprika', 'bay leav', 'caraway seed']",hungarian
53,"['salt', 'pancetta', 'egg yolk', 'egg', 'chees parmesan', 'ground pepper', 'bucatini']",italian
54,"['tofu', 'sauc soy', 'oil sesam', 'oil', 'seed sesam', 'onion']",japanese
55,"['meatbal', 'beef ground', 'salt', 'pepper', 'onion powder', 'garlic powder', 'garlic', 'sauc soy', 'parsley', 'egg', 'sauc', 'ketchup', 'soy', 'juic pineappl', 'honey', 'appl cider vinegar', 'sherri', 'ginger', 'water', 'rice']",hawaiian
56,"['steak', 'oil', 'onion', 'garlic', 'ketchup', 'sauc soy', 'sugar', 'salt', 'paprika', 'mustard', 'water']",hungarian
